Отметка времени,gender,age,nationality,city,Мой уровень образования:,Уровень моей должности в организации:,Отрасль деятельности моей организации: ,1. Является «голосом» коллектива,2. Терпеливо ждет результатов решения,3. Выступает с вдохновляющими речами для поддержания работоспособности и настроя коллектива,4. Объясняет членам коллектива что от них требуется,5. Позволяет членам команды иметь полную свободу действий,6. Неуверенно берет на себя инициативу в коллективе,7. Дружелюбен и доступен в общении,8. Поощряет сверхурочную работу,9. Принимает верные решения,10. Находит общий язык с вышестоящим руководством,11. Распространяет информацию о деятельности коллектива,12. Начинает переживать когда не может предвидеть развитие событий,13. Его/её аргументы убедительны,14. Поощряет стандартизацию процессов,15. Позволяет членам коллектива полагаться на собственное мнение при решении проблем,16. Не способен принимать необходимые меры,"17. Делает приятные мелочи, чтобы людям было комфортно быть частью коллектива",18. Подчеркивает необходимость быть впереди других коллективов,19. Поддерживает работу коллектива как единой команды,20. Поддерживает хорошие отношения группы с начальством,21. Говорит как представитель группы,"22. Спокойно принимает поражение, не прерывая его/её привычный распорядок",23. Убедительно доказывает свою точку зрения,24. Проверяет его/её идеи вместе с командой,25. Поощряет инициативу членов коллектива,26. Позволяет членам коллектива занимать лидерскую позицию,27. Претворяет в жизнь предложения других членов коллектива,28. Мотивирует команду прилагать больше усилий,29. Способен предвидеть развитие событий,30. Усиленно работает для продвижения по службе,"31. Говорит за членов команды, когда присутствуют третьи лица",32. Принимает задержки без раздражения,33. Является очень убедительным оратором,34. Четко формирует свою позицию перед коллективом,"35. Позволяет членам коллектива выполнять свою работу так, как они считают нужным",36. Позволяет другим пользоваться его/ее положением в личных целях,37. Относится к членам коллектива как к равным,38. Поддерживает скорость работы на должном уровне,39. Разрешает возникающие в группе конфликты,40. Вышестоящее руководство претворяют в жизнь большинство его/её предложений,41. Представляет группу на официальных встречах,42. Переживает в ожидании изменений,43. Искусен в спорах,44. Решает что должно быть сделано и как,"45. Поручив задание, позволяет членам коллектива решить как его выполнять",46. Является лидером группы только формально,47. Заранее предупреждает о предстоящих изменениях,48. Настаивает на повышенном уровне производительности,"49. Все обычно происходит так, как он/он предполагает",50. Использует все преимущества своего положения,51. Эффективно справляется с трудными проблемами,52. Способен смириться с переносом планов на будущее и неопределенностью,53. Не очень убедительный оратор,54. Распределяет задания между всеми членами коллектива,55. При распределении задач дает членам коллектива относительную свободу действий выполнения работы,"56. Уступает, когда необходимо придерживаться твердой позиции",57. Не общителен,58. Просит членов команды работать более усердно,59. Верно может предсказать как будут развиваться события,60. Убеждает вышестоящее начальство действовать в интересах его/её команды,"61. Ситуации, требующие повышенного внимания к деталям, вызывают его/её затруднение","62. Столкнувшись с проблемами, терпеливо ждёт какое-то время, но потом выходит из себя",63. Говорит с глубоким внутренним убеждением,"64. Делает все, чтобы его/её роль в коллективе была всем понятна",65. Неохотно дает членам коллектива свободу действий,"66. Делегирует членам коллектива полномочия, которые должен выполнять сам",14. Заботится о личном благополучии каждого члена команды,68. Позволяет членам коллектива выкладываться не в полной мере,69. Следит за координацией работы коллектива,70. Его/её слово имеет вес для вышестоящего начальства,"71. Его/её поведение, как правило, делает сложные и запутанные ситуации ещё хуже",72. Спокойно переносит неопределенность относительно предстоящих событий,73. Вдохновляющий оратор,74. Составляет график выполнения работы,75. Допускает в коллективе высокую степень инициативности,76. Берет на себя полную ответственность в критических ситуациях,77. Готов вносить изменения в процесс работы,"78. Работает упорнее, когда работа того требует",79. Помогает группе разрешить разногласия,"80. Получает то, что ему/ей нужно от вышестоящего начальства",81. Может превратить хаос в порядок и систему,82. Может отложить действие до подходящего момента,"83. Убеждает других, что его/её идеи в общих интересах",84. Придерживается определенных стандартов работы ,"85. Верит, что его/её подчиненные будут действовать разумно",86. Пресекает попытки подорвать его авторитет,87. Отказывается объяснять свои действия,88. Призывает коллектив превзойти свой предыдущий результат,89. Предвидит проблемы и готовится к ним,90. Работает для продвижения по карьерной лестнице,"91. Путается, когда от него/неё слишком много требуют",92. Боится последствий нововведений ,93. Способен мотивировать членов команды к работе над проектом,"94. Требует, чтобы члены коллектива следовали установленным правилам",95. Позволяет коллективу работать в своем темпе,96. Коллектив легко признаёт его/её как лидера,"97. Действует, не советуясь с членами коллектива",98. Заставляет коллектив работать на пределе возможностей,99. Поддерживает сплоченность в команде,100. Поддерживает тесные связи с вышестоящим начальством ,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
,Мужской,28,Русский,Москва,"Получил среднее специальное образование или любое другое, ниже бакалавриата","Обученный офисный работник или секретарь, не менеджер или супервайзер","Образование, здравоохранение",C = Иногда,D = Редко,C = Иногда,A = Всегда,C = Иногда,A = Всегда,C = Иногда,A = Всегда,D = Редко,B = Часто,B = Часто,D = Редко,A = Всегда,D = Редко,B = Часто,B = Часто,B = Часто,D = Редко,C = Иногда,C = Иногда,D = Редко,C = Иногда,A = Всегда,D = Редко,B = Часто,B = Часто,D = Редко,B = Часто,D = Редко,C = Иногда,D = Редко,C = Иногда,E = Никогда,B = Часто,A = Всегда,E = Никогда,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,A = Всегда,B = Часто,C = Иногда,D = Редко,A = Всегда,D = Редко,A = Всегда,D = Редко,C = Иногда,B = Часто,A = Всегда,D = Редко,E = Никогда,B = Часто,C = Иногда,A = Всегда,D = Редко,E = Никогда,A = Всегда,D = Редко,A = Всегда,A = Всегда,E = Никогда,B = Часто,D = Редко,B = Часто,D = Редко,D = Редко,E = Никогда,A = Всегда,E = Никогда,A = Всегда,D = Редко,A = Всегда,E = Никогда,B = Часто,A = Всегда,E = Никогда,A = Всегда,D = Редко,A = Всегда,C = Иногда,A = Всегда,E = Никогда,B = Часто,D = Редко,C = Иногда,C = Иногда,A = Всегда,D = Редко,A = Всегда,D = Редко,E = Никогда,B = Часто,C = Иногда,C = Иногда,A = Всегда,3 = относительно важно,1 = крайне важно,4 = не очень важно,2 = очень важно,5 = неважно или не имеет значения вообще,1 = крайне важно,4 = не очень важно,1 = крайне важно,4 = не очень важно,1 = крайне важно,3 = относительно важно,2 = очень важно,4 = не очень важно,1 = крайне важно,4 = обычно занимаю и расплачиваюсь полностью позднее,1 = никогда,3 = иногда,3 = не знаю,"4 = нет, редко",1 = очень хорошее,2 = очень большое,3 = отчасти горжусь,5 = всегда,2 = согласен,5 = совершенно не согласен,2 = согласен,3 = не знаю,4 = не согласен
,Женский,25,Русский,Владимир,Получил диплом бакалавриата после 3-4 лет обучения,"Специалист с академическим образованием, но не менеджер по работе с людьми",Маркетинг/продажи,A = Всегда,A = Всегда,A = Всегда,A = Всегда,B = Часто,E = Никогда,A = Всегда,C = Иногда,A = Всегда,A = Всегда,A = Всегда,C = Иногда,A = Всегда,A = Всегда,A = Всегда,E = Никогда,A = Всегда,C = Иногда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,B = Часто,A = Всегда,A = Всегда,C = Иногда,B = Часто,B = Часто,A = Всегда,A = Всегда,A = Всегда,B = Часто,C = Иногда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,C = Иногда,A = Всегда,A = Всегда,B = Часто,E = Никогда,A = Всегда,B = Часто,B = Часто,B = Часто,A = Всегда,B = Часто,E = Никогда,A = Всегда,B = Часто,B = Часто,E = Никогда,B = Часто,B = Часто,A = Всегда,E = Никогда,E = Никогда,A = Всегда,A = Всегда,E = Никогда,E = Никогда,A = Всегда,D = Редко,A = Всегда,A = Всегда,E = Никогда,A = Всегда,A = Всегда,B = Часто,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,A = Всегда,B = Часто,A = Всегда,A = Всегда,A = Всегда,D = Редко,E = Никогда,C = Иногда,B = Часто,C = Иногда,E = Никогда,D = Редко,A = Всегда,A = Всегда,B = Часто,A = Всегда,E = Никогда,C = Иногда,A = Всегда,A = Всегда,1 = крайне важно,1 = крайне важно,1 = крайне важно,1 = крайне важно,1 = крайне важно,1 = крайне важно,3 = относительно важно,1 = крайне важно,1 = крайне важно,2 = очень важно,1 = крайне важно,5 = неважно или не имеет значения вообще,1 = крайне важно,5 = неважно или не имеет значения вообще,"3 = иногда коплю деньги, иногда занимаю в долг для покупки",4 = довольно часто,4 = довольно часто,2 = по большей части такой же,"4 = нет, редко",3 = среднее,5 = не имеет значения,4 = горжусь,4 = довольно часто,5 = совершенно не согласен,4 = не согласен,2 = согласен,1 = полностью согласен,1 = полностью согласен
,Мужской,49,русский,Санкт-Петербург,Получил диплом бакалавриата после 3-4 лет обучения,"Менеджер одного или нескольких подчиненных, которые не являются менеджерами",Розничная торговля,B = Часто,B = Часто,C = Иногда,A = Всегда,B = Часто,D = Редко,C = Иногда,A = Всегда,B = Часто,B = Часто,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,D = Редко,C = Иногда,B = Часто,A = Всегда,B = Часто,A = Всегда,B = Часто,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,B = Часто,B = Часто,A = Всегда,C = Иногда,D = Редко,C = Иногда,B = Часто,B = Часто,C = Иногда,B = Часто,C = Иногда,B = Часто,B = Часто,C = Иногда,D = Редко,A = Всегда,C = Иногда,B = Часто,C = Иногда,B = Часто,B = Часто,D = Редко,B = Часто,C = Иногда,D = Редко,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,C = Иногда,D = Редко,C = Иногда,B = Часто,B = Часто,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,D = Редко,B = Часто,B = Часто,B = Часто,D = Редко,C = Иногда,B = Часто,B = Часто,C = Иногда,B = Часто,C = Иногда,D = Редко,B = Часто,B = Часто,3 = относительно важно,3 = относительно важно,2 = очень важно,2 = очень важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,4 = не очень важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,4 = не очень важно,2 = обычно сначала коплю деньги,3 = иногда,3 = иногда,1 = абсолютно такой же,3 = иногда,2 = хорошее,3 = относительно большое,3 = отчасти горжусь,4 = довольно часто,4 = не согласен,2 = согласен,2 = согласен,4 = не согласен,1 = полностью согласен
,Женский,23,Русский,Павловский Посад,"Получил среднее специальное образование или любое другое, ниже бакалавриата","Обученный офисный работник или секретарь, не менеджер или супервайзер",Производство,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,D = Редко,B = Часто,C = Иногда,B = Часто,C = Иногда,D = Редко,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,C = Иногда,D = Редко,C = Иногда,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,D = Редко,C = Иногда,C = Иногда,C = Иногда,B = Часто,C = Иногда,C = Иногда,D = Редко,B = Часто,C = Иногда,D = Редко,E = Никогда,C = Иногда,C = Иногда,C = Иногда,C = Иногда,D = Редко,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,B = Часто,C = Иногда,D = Редко,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,D = Редко,C = Иногда,B = Часто,3 = относительно важно,2 = очень важно,2 = очень важно,2 = очень важно,2 = очень важно,2 = очень важно,3 = относительно важно,1 = крайне важно,3 = относительно важно,3 = относительно важно,2 = очень важно,3 = относительно важно,2 = очень важно,2 = очень важно,2 = обычно сначала коплю деньги,3 = иногда,3 = иногда,1 = абсолютно такой же,3 = иногда,3 = среднее,3 = относительно большое,4 = горжусь,4 = довольно часто,2 = согласен,4 = не согласен,2 = согласен,3 = не знаю,1 = полностью согласен
,Женский,44,Русский,Ижевск,Получил диплом бакалавриата после 3-4 лет обучения,Самозанятый владелец бизнеса,"Образование, здравоохранение",C = Иногда,B = Часто,C = Иногда,B = Часто,D = Редко,B = Часто,C = Иногда,B = Часто,B = Часто,A = Всегда,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,D = Редко,B = Часто,B = Часто,B = Часто,A = Всегда,B = Часто,A = Всегда,B = Часто,C = Иногда,C = Иногда,D = Редко,C = Иногда,C = Иногда,C = Иногда,C = Иногда,C = Иногда,D = Редко,A = Всегда,B = Часто,D = Редко,C = Иногда,D = Редко,A = Всегда,B = Часто,B = Часто,C = Иногда,D = Редко,B = Часто,B = Часто,B = Часто,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,A = Всегда,C = Иногда,D = Редко,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,D = Редко,B = Часто,D = Редко,A = Всегда,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,B = Часто,A = Всегда,C = Иногда,B = Часто,B = Часто,C = Иногда,B = Часто,A = Всегда,A = Всегда,A = Всегда,C = Иногда,C = Иногда,B = Часто,C = Иногда,D = Редко,D = Редко,B = Часто,B = Часто,C = Иногда,A = Всегда,D = Редко,C = Иногда,A = Всегда,B = Часто,3 = относительно важно,2 = очень важно,2 = очень важно,1 = крайне важно,2 = очень важно,1 = крайне важно,3 = относительно важно,2 = очень важно,3 = относительно важно,2 = очень важно,4 = не очень важно,4 = не очень важно,3 = относительно важно,4 = не очень важно,2 = обычно сначала коплю деньги,3 = иногда,4 = довольно часто,2 = по большей части такой же,3 = иногда,3 = среднее,5 = не имеет значения,3 = отчасти горжусь,3 = иногда,3 = не знаю,2 = согласен,3 = не знаю,2 = согласен,2 = согласен
,Мужской,28,Русский,Москва,Получил диплом бакалавриата после 3-4 лет обучения,Менеджер среднего звена,Маркетинг/продажи,C = Иногда,C = Иногда,C = Иногда,C = Иногда,C = Иногда,D = Редко,B = Часто,D = Редко,B = Часто,B = Часто,E = Никогда,C = Иногда,C = Иногда,C = Иногда,C = Иногда,D = Редко,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,D = Редко,B = Часто,C = Иногда,B = Часто,D = Редко,C = Иногда,C = Иногда,C = Иногда,C = Иногда,D = Редко,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,C = Иногда,D = Редко,C = Иногда,C = Иногда,C = Иногда,D = Редко,B = Часто,C = Иногда,C = Иногда,D = Редко,A = Всегда,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,D = Редко,B = Часто,C = Иногда,D = Редко,E = Никогда,B = Часто,B = Часто,D = Редко,C = Иногда,C = Иногда,C = Иногда,C = Иногда,D = Редко,D = Редко,B = Часто,D = Редко,B = Часто,D = Редко,C = Иногда,C = Иногда,B = Часто,B = Часто,D = Редко,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,E = Никогда,D = Редко,B = Часто,B = Часто,B = Часто,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,D = Редко,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,D = Редко,B = Часто,C = Иногда,2 = очень важно,3 = относительно важно,3 = относительно важно,2 = очень важно,2 = очень важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,4 = не очень важно,2 = очень важно,3 = относительно важно,3 = относительно важно,2 = очень важно,4 = не очень важно,"3 = иногда коплю деньги, иногда занимаю в долг для покупки",3 = иногда,3 = иногда,2 = по большей части такой же,3 = иногда,2 = хорошее,3 = относительно большое,3 = отчасти горжусь,3 = иногда,2 = согласен,2 = согласен,3 = не знаю,2 = согласен,1 = полностью согласен
,Мужской,37,русский,Москва,Закончил среднюю школу,Менеджер среднего звена,Производство,C = Иногда,D = Редко,C = Иногда,B = Часто,D = Редко,B = Часто,D = Редко,C = Иногда,B = Часто,B = Часто,D = Редко,C = Иногда,C = Иногда,C = Иногда,A = Всегда,B = Часто,D = Редко,B = Часто,C = Иногда,B = Часто,E = Никогда,A = Всегда,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,A = Всегда,D = Редко,D = Редко,D = Редко,B = Часто,D = Редко,E = Никогда,B = Часто,B = Часто,B = Часто,A = Всегда,C = Иногда,C = Иногда,B = Часто,C = Иногда,B = Часто,E = Никогда,A = Всегда,B = Часто,C = Иногда,A = Всегда,C = Иногда,D = Редко,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,A = Всегда,D = Редко,B = Часто,B = Часто,B = Часто,E = Никогда,A = Всегда,C = Иногда,D = Редко,B = Часто,D = Редко,B = Часто,D = Редко,D = Редко,C = Иногда,E = Никогда,A = Всегда,C = Иногда,A = Всегда,D = Редко,B = Часто,D = Редко,C = Иногда,B = Часто,B = Часто,D = Редко,B = Часто,B = Часто,E = Никогда,A = Всегда,D = Редко,B = Часто,C = Иногда,B = Часто,D = Редко,A = Всегда,D = Редко,A = Всегда,B = Часто,D = Редко,A = Всегда,A = Всегда,D = Редко,D = Редко,3 = относительно важно,4 = не очень важно,2 = очень важно,1 = крайне важно,2 = очень важно,2 = очень важно,3 = относительно важно,4 = не очень важно,1 = крайне важно,2 = очень важно,3 = относительно важно,3 = относительно важно,1 = крайне важно,3 = относительно важно,4 = обычно занимаю и расплачиваюсь полностью позднее,1 = никогда,3 = иногда,4 = по большей части другой,"1 = да, всегда",3 = среднее,1 = крайне большое,2 = не горжусь,2 = редко,1 = полностью согласен,2 = согласен,2 = согласен,3 = не знаю,2 = согласен
,Мужской,35,Русский,Москва,Получил диплом бакалавриата после 3-4 лет обучения,Менеджер старшего уровня,Производство,B = Часто,C = Иногда,A = Всегда,B = Часто,C = Иногда,D = Редко,A = Всегда,A = Всегда,B = Часто,B = Часто,D = Редко,B = Часто,A = Всегда,A = Всегда,B = Часто,E = Никогда,B = Часто,C = Иногда,A = Всегда,A = Всегда,B = Часто,B = Часто,A = Всегда,C = Иногда,A = Всегда,C = Иногда,D = Редко,A = Всегда,B = Часто,C = Иногда,D = Редко,B = Часто,A = Всегда,A = Всегда,B = Часто,D = Редко,A = Всегда,B = Часто,A = Всегда,A = Всегда,B = Часто,A = Всегда,B = Часто,B = Часто,B = Часто,E = Никогда,B = Часто,B = Часто,B = Часто,D = Редко,A = Всегда,B = Часто,E = Никогда,A = Всегда,B = Часто,D = Редко,E = Никогда,B = Часто,B = Часто,A = Всегда,D = Редко,E = Никогда,B = Часто,A = Всегда,E = Никогда,E = Никогда,A = Всегда,D = Редко,A = Всегда,A = Всегда,E = Никогда,C = Иногда,A = Всегда,B = Часто,B = Часто,A = Всегда,A = Всегда,A = Всегда,B = Часто,A = Всегда,B = Часто,D = Редко,B = Часто,C = Иногда,B = Часто,C = Иногда,E = Никогда,A = Всегда,B = Часто,C = Иногда,E = Никогда,E = Никогда,A = Всегда,B = Часто,B = Часто,A = Всегда,E = Никогда,D = Редко,A = Всегда,A = Всегда,1 = крайне важно,2 = очень важно,2 = очень важно,1 = крайне важно,2 = очень важно,2 = очень важно,3 = относительно важно,2 = очень важно,4 = не очень важно,1 = крайне важно,2 = очень важно,1 = крайне важно,2 = очень важно,3 = относительно важно,2 = обычно сначала коплю деньги,3 = иногда,4 = довольно часто,2 = по большей части такой же,"4 = нет, редко",2 = хорошее,3 = относительно большое,5 = очень горжусь,2 = редко,1 = полностью согласен,1 = полностью согласен,3 = не знаю,2 = согласен,1 = полностью согласен
,Мужской,30,Русский,Белгород,Получил сертификат по рабочей специальности,Самозанятый владелец бизнеса,Маркетинг/продажи,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,A = Всегда,B = Часто,C = Иногда,D = Редко,B = Часто,B = Часто,B = Часто,B = Часто,D = Редко,B = Часто,D = Редко,B = Часто,C = Иногда,C = Иногда,D = Редко,B = Часто,C = Иногда,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,D = Редко,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,C = Иногда,B = Часто,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,A = Всегда,A = Всегда,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,A = Всегда,C = Иногда,C = Иногда,B = Часто,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,B = Часто,2 = очень важно,1 = крайне важно,2 = очень важно,3 = относительно важно,2 = очень важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,4 = не очень важно,2 = очень важно,3 = относительно важно,2 = очень важно,4 = не очень важно,2 = обычно сначала коплю деньги,2 = редко,2 = редко,3 = не знаю,3 = иногда,3 = среднее,4 = небольшое,1 = вообще не горжусь,2 = редко,2 = согласен,4 = не согласен,4 = не согласен,4 = не согласен,3 = не знаю
,Мужской,40,Русский,Москва,"Получил среднее специальное образование или любое другое, ниже бакалавриата",Неквалифицированный или полуквалифицированный работник физического труда,Производство,C = Иногда,D = Редко,C = Иногда,B = Часто,B = Часто,D = Редко,B = Часто,A = Всегда,B = Часто,B = Часто,C = Иногда,C = Иногда,B = Часто,B = Часто,B = Часто,D = Редко,A = Всегда,C = Иногда,C = Иногда,C = Иногда,B = Часто,D = Редко,D = Редко,C = Иногда,B = Часто,C = Иногда,C = Иногда,C = Иногда,C = Иногда,C = Иногда,B = Часто,C = Иногда,B = Часто,B = Часто,A = Всегда,D = Редко,A = Всегда,B = Часто,B = Часто,C = Иногда,A = Всегда,D = Редко,C = Иногда,B = Часто,A = Всегда,D = Редко,A = Всегда,D = Редко,C = Иногда,C = Иногда,A = Всегда,C = Иногда,D = Редко,B = Часто,B = Часто,C = Иногда,E = Никогда,C = Иногда,B = Часто,B = Часто,D = Редко,E = Никогда,C = Иногда,B = Часто,D = Редко,E = Никогда,C = Иногда,C = Иногда,B = Часто,B = Часто,E = Никогда,D = Редко,C = Иногда,B = Часто,B = Часто,A = Всегда,B = Часто,B = Часто,A = Всегда,C = Иногда,B = Часто,B = Часто,B = Часто,B = Часто,B = Часто,C = Иногда,E = Никогда,C = Иногда,B = Часто,D = Редко,E = Никогда,D = Редко,C = Иногда,B = Часто,A = Всегда,C = Иногда,D = Редко,E = Никогда,C = Иногда,D = Редко,3 = относительно важно,3 = относительно важно,2 = очень важно,2 = очень важно,1 = крайне важно,3 = относительно важно,2 = очень важно,2 = очень важно,4 = не очень важно,3 = относительно важно,1 = крайне важно,3 = относительно важно,3 = относительно важно,3 = относительно важно,2 = обычно сначала коплю деньги,3 = иногда,2 = редко,2 = по большей части такой же,"2 = да, обычно",2 = хорошее,5 = не имеет значения,4 = горжусь,3 = иногда,4 = не согласен,4 = не согласен,3 = не знаю,3 = не знаю,1 = полностью согласен
